stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,4.09,0,0,0,0,12.26,0,0,0,0,0
72hpf,0,0,0,2.14,1.07,0,0,0,0,0,1.07,0,0,0,3.21,1.07,3.21,0,1.07,0,0
21Day,1.34,0,0,0,2.68,0,0,0,0,0,1.34,0,1.34,0,1.34,0,2.68,0,0,0,0
3Month,0,0.32,1.6,0,0,0,0.96,2.24,0.64,0.64,0,0.32,0.96,0,0,0,0,0.96,0,0.64,0
22Month,0,0,0.55,0,0,0.55,0,2.73,0.55,0.55,0,0.55,0,0.55,0,0,0,0,0,0,1.09
