stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Fibroblast,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,44.95,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,4.28,0,0,0,0,0,0,0,0,1.07,11.77,1.07,1.07,0,0,56.7,11.77,0,0,0,0,1.07,1.07,0,1.07,0,0,0
21Day,2.68,2.68,0,38.82,1.34,1.34,0,0,0,0,0,1.34,2.68,12.05,0,6.69,0,4.02,73.62,8.03,0,0,1.34,2.68,1.34,0,1.34,0,0,0,1.34
3Month,0,4.8,0.32,45.75,0.32,0,0.32,1.6,2.56,1.6,0.32,1.6,1.92,50.23,0.96,2.56,0,2.24,1.28,0.32,1.6,1.28,0.32,1.28,9.92,1.92,0,0,2.88,17.92,0.64
22Month,0,4.92,0.55,6.01,0,0,0,0,2.73,0.55,0,1.64,0,5.47,0,0.55,1.09,0,0.55,0,5.47,0.55,0,0.55,4.92,0,0,0,0,0,0.55
