stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,4.09,4.09,0,0,0,8.17,53.12,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,0,1.07,0,3.21,0,0,0,0,0,0,0,0,0,1.07,23.54,0,4.28,0,0,0,256.75,9.63,2.14,1.07,0,5.35,0,0,4.28,2.14,2.14,0,0,0
21Day,2.68,0,0,2.68,1.34,4.02,0,1.34,0,0,0,0,0,2.68,2.68,0,4.02,2.68,28.11,0,0,1.34,137.87,8.03,4.02,1.34,0,8.03,4.02,1.34,0,2.68,5.35,0,0,1.34
3Month,0,0.32,0.64,5.12,0,0,0,0,0.32,0,0.32,7.68,1.6,0,3.52,0,1.92,2.24,1.6,1.6,0,0.32,0.96,0,8.32,0.32,0,0,0.64,5.76,0,0,0,0.64,15.68,0.64
22Month,0,1.64,0,1.09,0,0,0.55,0,0,2.19,0,25.69,0.55,0,2.73,0,0.55,0.55,4.92,0,1.09,0,0.55,0,6.01,0,0.55,0,0.55,4.92,0.55,0,0,0.55,0.55,0.55
