stage,Epithelial_cell,Erythrocyte,Macrophage,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,0,2.14,0,0,38.51,1.07,0,0,0,3.21,0
21Day,0,0,1.34,0,6.69,1.34,0,0,0,0,0
3Month,0.32,0,0.32,0,0,0,0,0.32,0.64,0,0.32
22Month,0,0,0,0.55,0,0,0.55,0,0.55,0,0
