stage,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0,0,0,0,0,0,0
21Day,14.72,26.77,1.34,0,1.34,1.34,16.06,0,1.34,1.34,9.37,1.34,0,10.71,0,0,0,0,1.34,1.34,0,1.34,0,8.03
3Month,0.32,17.28,0,0.32,1.28,4.16,0,0.96,0.32,1.6,8.64,0.64,0.32,20.8,0,0,0.32,0.32,0,0,2.88,0,1.28,2.88
22Month,0,8.75,0,1.09,0.55,4.92,2.19,0,0,0.55,1.64,1.09,0,0.55,0,0,0,0,0,0.55,0,0,0,0
