stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.6,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,1.07,0,0,0,0,0,0,0,1.07,1.07,2.14,0,0,0,21.4,4.28,0,0,0,3.21,0,1.07,2.14,0,0
21Day,1.34,0,0,6.69,1.34,0,0,0,0,0,0,0,4.02,0,2.68,0,0,0,5.35,0,0,0,0,1.34,1.34,0,1.34,0,0
3Month,0,0.64,0,3.52,0,0.32,0.32,0.64,3.52,0,1.6,0.96,0.32,0.32,3.2,3.2,0,0.64,0.64,0,0,0.32,0,0.32,0,3.84,0,1.28,1.6
22Month,0,1.64,0.55,10.39,0,0,0,1.64,28.43,1.09,0.55,0,0,1.64,1.64,1.64,1.09,0,1.09,0,3.28,1.64,1.09,1.09,0,7.11,0,0,0
