stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Radial_glia
24hpf,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0
72hpf,1.07,0,1.07,1.07,0,0,0,0,19.26,0,0,2.14,1.07,0
21Day,0,1.34,1.34,0,0,0,0,0,13.39,0,2.68,1.34,0,2.68
22Month,0,0.55,0,0,0.55,0.55,6.56,1.09,0,0,0.55,0,0,0
