stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Keratinocyte,Mesenchymal_cell,Radial_glia
24hpf,4.09,0,0,0,4.09,0
72hpf,0,0,1.07,0,0,0
21Day,5.35,0,0,2.68,0,0
3Month,0,0.96,0,0.32,0,0.32
