stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,12.26,61.3,4.09,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,2.14,1.07,0,7.49,4.28,1.07,0,0,0,0,0,0,0,0,1.07,9.63,4.28,2.14,0,0,0,0,227.87,12.84,1.07,1.07,0,7.49,0,0,5.35,0,2.14,0,0,0
21Day,1.34,1.34,0,2.68,0,2.68,0,0,0,0,0,0,9.37,0,1.34,14.72,1.34,5.35,0,0,2.68,0,73.62,6.69,0,0,0,1.34,1.34,5.35,4.02,0,0,0,0,0
3Month,1.28,1.28,0.32,7.68,0.64,0,0.96,0.96,1.28,0,11.52,2.88,1.28,13.44,5.44,6.4,3.84,5.76,1.28,0.32,3.2,2.56,5.44,0.32,4.16,0.64,0,0.32,0.96,108.46,0.64,0.32,0,1.28,107.5,1.92
22Month,0,0.55,0,2.19,0,0,0,0.55,1.09,0.55,15.85,0.55,1.09,1.64,0.55,2.73,1.64,1.09,0,0,1.09,0,2.73,0.55,0,0,0.55,0,0,34.44,0,0,0,0,0.55,1.09
