stage,Keratinocyte,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Radial_glia,T_cell
24hpf,4.09,0,0,0,0,0
72hpf,1.07,17.12,0,1.07,1.07,0
21Day,0,9.37,1.34,0,0,1.34
