stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell
24hpf,4.09,12.26,0,0,0,0,0,0,0,0,36.78,0
72hpf,0,0,0,0,0,0,0,1.07,0,18.19,0,0
21Day,2.68,6.69,1.34,0,0,1.34,1.34,1.34,5.35,53.54,0,0
3Month,0,0,0,0.64,0,0,0.32,0.32,1.92,0,0,0
22Month,0,0,0,0.55,0.55,0,0,0,0,0,0,0.55
