stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,37.44,0,1.07,0,1.07,1.07,0,1.07,0,0,0
21Day,0,0,12.05,0,0,0,1.34,0,136.53,0,0,0,6.69,0,2.68,0,1.34,0,0
3Month,0.32,0.32,11.2,0,2.56,0,0,0.64,0,0.64,0.64,0,0.32,0,5.76,0,0,1.92,0
22Month,0,0,6.56,0.55,15.31,1.09,0,1.09,0,0.55,1.09,0.55,0.55,0,0.55,0,0,0,0.55
