stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,0,3.21,0,0,0,0,0,0,0,0
21Day,0,0,0,29.45,0,0,0,0,0,1.34,2.68,0,57.56,0,2.68,0,0,0,1.34,1.34,0,4.02,0,0,0,0,1.34
3Month,0.64,1.6,0.64,41.91,0.64,1.28,9.6,15.36,13.76,0.64,14.08,0.64,18.24,3.52,3.52,0.64,0,1.28,0.32,0,0.64,0,0.64,3.84,0.64,4.16,21.76
22Month,0.55,0.55,1.09,16.4,0.55,1.09,4.37,24.05,6.01,0,15.31,0,4.37,4.37,1.09,0,0.55,0,0.55,0,0.55,0,0,1.64,0,0,3.28
