stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,20.43,0,0,0,0,0,0,0,0,0,0,0,69.47,0,0,0,0,12.26,40.86,0,0,28.6,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,0,6.42,3.21,0,0,0,0,0,0,1.07,0,8.56,1.07,77.02,0,0,0,0,486.75,26.74,1.07,0,70.61,0,0,1.07,0,1.07,2.14,0,0,0
21Day,18.74,0,0,13.39,9.37,1.34,0,0,0,0,0,1.34,0,1.34,2.68,147.24,0,0,4.02,0,211.49,8.03,1.34,6.69,46.85,5.35,0,4.02,2.68,4.02,4.02,0,0,4.02
3Month,0,0.64,0,3.84,0,0,0.32,0.64,0,11.84,0.32,0.64,3.84,1.28,0.96,4.48,1.28,0,0.32,0.32,1.6,0.64,0,0.32,0,0,1.6,0,0,0,0,0.32,1.28,1.28
22Month,0,0,1.64,1.09,0,0,1.09,3.28,1.09,71.07,3.28,3.83,4.37,1.09,3.28,9.29,0.55,0.55,0,0,0.55,0,1.09,0,0,0.55,1.64,0,0,0,0,0.55,0,0.55
