stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,6.42,0,0,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,5.35,5.35,0,0,0,0,0,1.07,0,0,0
21Day,9.37,0,5.35,1.34,8.03,4.02,0,0,0,1.34,0,5.35,4.02,0,1.34,0,0,5.35,4.02,0,0,2.68,1.34,0,0,0,0,0
3Month,1.92,0.32,6.72,0,0,0,0.32,0,2.24,0,0.64,0.64,2.56,0.64,0.64,0.32,0.32,0,0.32,0.32,0.32,0.96,0,0.32,0,0.32,1.6,0.32
22Month,1.09,0,2.19,0,0,0.55,0,1.09,9.84,0.55,1.64,0,0,0,0.55,0.55,0,0,1.09,0.55,0,6.56,0,0,0.55,0,0,0
