stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,12.26,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,0,5.35,0,0,0,0,0,1.07,0,1.07,0,0,20.33,3.21,0,0,3.21,0,0,3.21,2.14,0,0,0,0
21Day,1.34,0,0,2.68,0,1.34,0,0,0,0,0,0,2.68,0,0,14.72,2.68,0,0,2.68,1.34,0,9.37,14.72,0,0,0,0
3Month,0,0.96,0.32,4.8,0.32,0,0.32,5.76,0.32,0.96,0.64,0,1.28,1.28,1.28,0,0,0.96,0,0,0.32,2.24,0,0,0,0.96,5.12,0.64
22Month,0,0.55,0,3.28,0,0,2.73,21.32,0.55,2.19,0,2.19,2.19,0.55,0,0,0,1.09,0.55,0,0,1.09,0.55,0,0,0,0,0
