stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,2.14,2.14,0,0,4.28,0,0,0,1.07,2.14,0,0,0
21Day,0,1.34,0,0,0,0,0,1.34,0,0,5.35,0,1.34,0,0,0,0,1.34,2.68,0,0,0,0
3Month,0,5.12,0,0,0.64,6.72,1.6,0,0.96,0.64,1.92,0.64,0,0.32,0,0.32,0,4.8,0,0,0.64,0.32,1.6
22Month,0.55,0.55,0.55,0,2.19,0,0.55,0,0,0,1.64,0.55,0,0,0,0,0.55,0,0,0,0,0,0
