stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,2.14,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,1.34,1.34,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0.64,0.32,4.8,0,0.32,0.64,0.96,86.71,0.64,0,1.92,0.64,1.6,0.96,2.56,0.64,0.64,0,0.32,0.64,0.64,0.32,0.64,0.96,1.6,5.12,0.96,0.32,0.64,0.64,0.96
22Month,0,0.55,0,1.64,0,0,0.55,0.55,67.79,0.55,1.09,4.92,0.55,0,0.55,5.47,0,1.64,0.55,0.55,0,0,0,0.55,0,1.64,0.55,0,0,0,0,0.55
