stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,12.26,0,0,0,0,0,16.35,0,4.09,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,27.81,0,0,3.21,0,1.07,0,0,0,1.07,0,0,0,1.07,20.33,1.07,3.21,0,1.07,0,0,20.33,14.98,0,0,0,8.56,0,0,1.07,2.14,1.07,1.07,0,0,0
21Day,10.71,0,0,6.69,0,0,0,0,0,1.34,0,0,0,0,6.69,1.34,9.37,0,0,1.34,0,5.35,6.69,0,0,0,6.69,0,0,17.4,1.34,1.34,2.68,0,0,0
3Month,0.64,0.32,0.32,21.12,0.32,0,0.64,0.96,0,5.76,1.28,0,4.48,0.64,1.6,1.6,1.28,0.64,0,1.28,1.28,0,0,0.64,0.32,0,0,0.64,0.32,227.16,0.32,0,0,0.32,130.86,2.24
22Month,1.09,1.09,1.09,6.56,0,0,1.09,2.73,0,16.95,0,1.09,1.09,0,0,0.55,2.19,0,1.09,0.55,0,0,1.09,0,0,1.64,0.55,0,0,84.73,0.55,0,0,0,0.55,0.55
