stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,12.26,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
72hpf,13.91,0,0,0,0,0,0,0,0,0,1.07,0,0,13.91,0,1.07,0,0,0,0,3.21,0,0,0,1.07,0,0,0,0,0,0
21Day,100.39,2.68,16.06,1.34,6.69,0,0,0,0,0,0,4.02,1.34,45.51,1.34,6.69,0,0,0,0,9.37,2.68,0,0,2.68,4.02,0,1.34,1.34,0,0
3Month,9.6,0,16.32,0,0,0,0.32,0.96,2.56,0.96,0,5.76,0,10.24,0.96,0.64,0.32,0,0,0.32,0,0,0,0,0,1.28,3.84,0,0,1.28,0.64
22Month,3.83,0,1.09,0.55,0,0.55,0,0.55,14.21,0,0,0,0,1.64,0,1.64,0,0.55,0.55,0,0,0,0.55,0.55,0,0,3.28,0,0,0,1.09
