stage,Erythrocyte,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
24hpf,0,0,0,0,0,12.26,0,0
72hpf,0,0,0,1.07,4.28,0,2.14,1.07
21Day,1.34,1.34,1.34,0,1.34,0,1.34,0
