stage,Epithelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
3Month,4.48,0.32,3.2,1.6,0.32,0.96,0.32,0.96,0.96,0.32,0.32,0.32,1.28,0.64,7.68
22Month,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0
