stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Ionocyte,Keratinocyte,Neural_cell,Neural_progenitor_cell
24hpf,0,0,0,0,0,0,0,4.09
72hpf,0,0,0,0,1.07,0,2.14,5.35
3Month,0.64,0.32,0.64,0.64,0,0.32,0,0
