stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,36.78,4.09,8.17,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,11.77,0,2.14,1.07,5.35,0,0,0,0,0,0,0,0,2.14,16.05,2.14,10.7,0,1.07,0,1258.07,34.23,2.14,1.07,0,11.77,1.07,0,5.35,0,1.07,1.07,0,0,0
21Day,4.02,1.34,18.74,0,4.02,0,0,0,0,0,0,1.34,2.68,0,2.68,2.68,9.37,0,1.34,0,169.99,4.02,0,0,0,5.35,4.02,1.34,2.68,1.34,1.34,0,0,0,2.68
3Month,0.32,0,8.64,0.32,0,0,0.32,1.28,0.96,2.56,1.28,0.32,1.92,0.32,1.6,1.92,6.72,9.92,3.84,0.96,0.96,0,2.24,0,0,0.32,0.96,58.23,0,0,0,0,0.32,29.44,0.96
22Month,0,0.55,1.64,0,0,1.09,0,0,0.55,12.03,0,0,0.55,0,0,0.55,0.55,0.55,0,0,1.09,0,0.55,0.55,0.55,0,0,7.65,1.09,0,0,0,0,0,0.55
