stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,1.07,0,0,0,0,1.07,1.07,12.84,0,0,0,3.21,0,0
21Day,0,0,0,0,0,1.34,0,2.68,0,1.34,0,0,0,0
3Month,0,0.96,0.64,1.92,0.96,0.64,0,0,0.32,0,0.32,0,0.32,38.07
