stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,8.17,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,3.21,0,0,0,0,0,0,0,0,8.56,0,0,0,0,1.07,1.07,0,6.42,0,0,0,0,0
21Day,0,5.35,0,0,0,0,0,0,0,0,0,0,5.35,0,0,0,0,0,5.35,0,0,0,0,0
3Month,5.12,3.2,0.32,0.64,3.2,1.28,5.12,0,2.56,1.6,9.92,1.6,51.51,19.52,4.8,0,0,0,0.32,8.96,0,0.64,1.6,0.64
22Month,3.83,2.19,0,0.55,2.19,1.09,41.55,1.09,5.47,0,1.09,1.09,102.22,3.28,2.19,0,0,0.55,0,2.73,0.55,0.55,0,0
