stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,36.78,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,5.35,0,0,0,0,0,0,0,0,0,1.07,9.63,0,0,0,0,0,5.35,1.07,0,0,0,0,0,0,0,0,0,0,0,0
21Day,2.68,0,0,2.68,0,0,0,0,0,0,0,0,0,0,2.68,0,4.02,0,0,4.02,2.68,1.34,0,1.34,2.68,0,0,2.68,0,1.34,0,0,0,0
3Month,0.32,0.64,0.32,11.2,0.32,0.64,0,0.64,0,4.16,0.32,0,1.28,0.64,6.4,2.24,7.68,1.92,0,2.88,0.64,0.32,0.32,0.32,0,0.64,1.28,0,0.32,0,0,1.28,3.84,0.64
22Month,0,1.64,0,5.47,0,0.55,0.55,2.19,1.64,21.87,0,0.55,3.83,0.55,2.19,1.09,6.56,0,1.09,1.09,0,0,0,0,0,0,2.19,0.55,0,0,0.55,0,0,0.55
