stage,Hepatocyte,Immune_cell,Immune_progenitor_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell
72hpf,0,0,0,0,0,18.19,0,0,1.07,0,0
21Day,0,0,0,0,2.68,0,2.68,0,0,1.34,0
3Month,0.32,0,0,0,0.32,0.32,0,0,0,0,0.32
22Month,0.55,0.55,0.55,0.55,0.55,0,0,0.55,0.55,0,0
