stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,8.17,44.95,4.09,0,0,0,4.09,0,0,0,0,12.26,36.78,24.52,93.99,0,0,8.17,743.73,0,8.17,0,0,0,0,8.17,0,0,0
72hpf,4.28,2.14,4.28,2.14,1.07,0,0,0,0,0,0,1.07,1.07,2.14,0,17.12,1.07,0,14.98,63.12,0,8.56,0,0,1.07,0,1.07,0,0,0
21Day,9.37,0,28.11,44.17,22.76,0,1.34,0,0,0,10.71,1.34,2.68,2.68,2.68,16.06,0,1.34,8.03,42.83,0,4.02,0,1.34,5.35,1.34,0,0,0,8.03
3Month,0.32,0,0.96,0,0.32,0.64,1.6,0,6.4,0.64,0.32,0.96,0,0,0.64,0.32,0,0,0,0.96,0,0,0.32,5.44,0.32,0,0,0.32,0.96,0.96
22Month,0.55,0,1.09,0,0,0,2.19,0,2.73,0.55,1.64,1.09,0,1.09,3.83,0,1.09,0,0,0,0.55,0,0,0.55,0,0,0,0,0,0
