stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,1.07,0,0,1.07,0,0,9.63,1.07,0,0,0,0,0,0
21Day,1.34,6.69,0,0,0,0,0,0,2.68,0,2.68,0,1.34,0,0,1.34,1.34,0,1.34,0,0,0,0
3Month,0,5.44,0.32,0.32,0.32,0.64,5.76,0.64,4.16,0,0.64,2.88,0.64,0.32,0.64,0.32,0,0.64,0,0.32,0,0.32,3.52
22Month,0,0.55,0,0,0.55,1.64,2.19,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0
