stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,4.28,0,3.21,0,0,230.01,3.21,3.21,4.28,2.14,0,0,2.14,1.07,0,1.07,0,0
21Day,1.34,0,0,8.03,1.34,0,0,0,0,0,0,1.34,0,0,0,1.34,0,0,112.44,1.34,0,1.34,2.68,5.35,0,0,0,1.34,0,0,0
3Month,0,0.32,0,1.6,0,0.32,0.32,0,2.88,0.32,0,1.28,0.32,0.64,0.32,14.72,0.96,0.32,0.96,0,1.28,0,0,0,0.96,0.64,0,0,0,0.96,0.32
22Month,0.55,0,0.55,0,0,0,0.55,1.64,7.11,0,0.55,1.64,1.09,0,0.55,8.75,0,0,0.55,0,1.64,0,0,0,6.56,0.55,0,0,0,0,0
