stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Granulosa_cell,Hatching_gland,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,134.85,0,535.32,0,0,12.26,0,0,36.78,907.18,24.52,286.05,241.1,2754.24,28.6,0,8.17
72hpf,1.07,2.14,1.07,0,0,0,0,0,0,0,1.07,0,4.28,5.35,1.07,1.07,0
21Day,0,0,5.35,0,0,0,0,0,0,4.02,0,6.69,6.69,2.68,0,1.34,0
22Month,0,0,0,0.55,0.55,0,0.55,1.09,0,0,0.55,0,0,0,0,0,0
