stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,12.26,0,0,4.09,0,0,0,0,0,0,0,0,4.09,0,0,12.26,0,0,0,20.43,57.21,32.69,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,1.07,0,5.35,5.35,0,0,0,0,0,0,0,0,6.42,1.07,5.35,5.35,0,0,0,5.35,22.47,12.84,0,0,9.63,0,0,1.07,2.14,44.93,0,0,0
21Day,0,4.02,8.03,16.06,0,1.34,0,1.34,0,0,6.69,0,9.37,0,4.02,8.03,14.72,0,0,0,9.37,5.35,2.68,1.34,1.34,2.68,4.02,0,0,0,0,0,0,0
3Month,0.32,38.39,26.88,38.71,0.64,0,0.96,33.27,2.24,1.6,38.39,7.68,194.53,2.88,4.16,8,8.64,2.24,0,1.6,272.92,1.28,0,57.59,0.32,0.64,3.2,8.32,0.64,0,1.92,9.28,11.84,3.2
22Month,0.55,45.37,43.73,106.6,1.09,0,0.55,38.81,2.19,1.09,36.08,0,105.5,2.19,0.55,3.83,5.47,0,1.09,1.09,25.15,0,0,34.99,0.55,0,0.55,1.64,0.55,1.09,0,12.57,0,2.73
