stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,12.26,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,4.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.42,0,0,0,59.91,4.28,0,0,0,4.28,0,0,1.07,0,1.07,0,0
21Day,2.68,0,0,6.69,2.68,2.68,0,1.34,0,0,0,0,0,0,0,0,1.34,2.68,12.05,0,0,18.74,238.26,4.02,1.34,1.34,0,4.02,2.68,0,6.69,0,0,0,0
3Month,0,1.92,0,1.92,0,0,0.32,0,0.32,0.96,0,6.08,0,0,2.56,0.64,0,0.32,1.28,0.32,0,2.88,1.92,0,0.32,0.64,0,0,0,0,2.24,0,0.64,0.96,1.6
22Month,0,0.55,1.09,1.64,0,0,0,0,0,4.92,0.55,32.25,0.55,1.09,3.28,0,0,3.83,6.01,0.55,1.09,1.09,11.48,0,0,0,0.55,0.55,0,2.19,51.93,3.83,0,0,1.64
