stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,8.17,0,0,0,4.09,8.17,20.43,0,294.22,0,0,0,0,4.09
72hpf,1.07,0,0,3.21,2.14,0,1.07,1.07,11.77,0,0,0,0,0
21Day,4.02,0,1.34,1.34,0,2.68,6.69,4.02,14.72,0,4.02,1.34,1.34,0
22Month,0.55,6.01,1.64,0,0,1.09,1.09,0,0,1.09,0,9.29,0.55,0
