stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,3.21,9.63,0,0,0,0,0,0,0,0,0,5.35,0,3.21,0,0,0,68.47,2.14,1.07,0,7.49,0,0,7.49,1.07,0,0,0
21Day,2.68,0,1.34,0,4.02,0,0,0,0,0,0,0,0,1.34,4.02,0,6.69,0,0,0,24.09,2.68,0,1.34,2.68,1.34,0,5.35,0,0,0,0
3Month,0,0.96,0,3.2,1.28,0,0.32,0.32,0,7.36,0.32,0,0.96,0.32,1.92,1.28,1.28,0.96,0,0,0.64,0.64,0.32,0.32,0,0.32,2.56,0.32,0,0.64,2.56,1.28
22Month,0.55,0.55,1.09,3.28,0,0.55,0,5.47,0.55,36.08,2.19,1.64,1.64,0,0,4.37,1.09,0,1.64,0.55,0,0,0.55,0,0,0,0,0,0,0,0,2.73
