stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,1.07,0,3.21,0,0,0,0,0,0,0,0,1.07,4.28,0,0,0,25.67,1.07,0,1.07,0,0,0,0,0,0,0
21Day,0,0,5.35,1.34,0,0,0,0,2.68,0,0,0,9.37,0,2.68,0,10.71,1.34,2.68,1.34,1.34,0,0,5.35,0,0,0
3Month,1.6,0,8,0,0.32,0.96,1.28,4.8,4.8,0,1.28,0.32,7.36,0.96,1.6,0.32,0.64,0,1.6,0,4.16,0,0.32,0,0.32,0.96,0.64
22Month,3.83,0.55,2.73,0,0,0,0,8.2,4.92,0.55,0.55,0,0.55,0,2.19,0.55,0.55,0,0.55,0,0,1.09,0,0,0,0,0.55
