stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,114.42,4.09,0,0,0,0,4.09,12.26,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,13.91,1.07,0,0,0,0,0,0,0,0,267.45,0,2.14,0,0,0,7.49,3.21,0,0,3.21,0,0,0,0,0,0
21Day,1.34,1.34,87,0,0,1.34,0,0,0,5.35,0,2.68,101.73,5.35,2.68,0,0,0,1.34,2.68,0,1.34,1.34,4.02,0,0,0,0,1.34
3Month,0,0.32,5.76,0,0,7.68,0,2.56,39.35,0.32,1.6,0,2.24,2.56,0.64,0.32,0,0.64,0,0,0,0,0,0.32,0.64,0.32,0.32,0.64,0.96
22Month,0,0.55,6.01,0,0.55,39.91,0.55,25.15,58.49,1.09,2.19,0,0,4.92,0,0.55,0.55,0,0,0,0.55,0,0.55,0,0,1.64,0,0,0
