stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,24.52,12.26,20.43,0,0,0,0,0,0,0,0,0,0,0,0,89.9,0,0,24.52,371.86,0,4.09,0,0,0,0,0,0,0
72hpf,6.42,5.35,0,2.14,0,0,0,0,0,0,0,1.07,1.07,7.49,0,49.21,0,1.07,19.26,14.98,0,50.28,0,0,1.07,0,0,0,0
21Day,10.71,5.35,9.37,0,1.34,0,0,0,0,0,0,2.68,0,2.68,0,41.49,0,4.02,2.68,6.69,1.34,34.8,1.34,0,2.68,1.34,0,0,0
3Month,0,5.76,3.2,0,0,0.64,0.32,0.64,0,10.56,0.96,0,2.56,2.88,0.32,9.92,4.16,0.96,0.96,0,0.96,1.28,0,3.2,0,0,11.52,0.32,0.32
22Month,0,7.65,0.55,0,0,0,0,0,2.73,11.48,0.55,1.09,0.55,1.09,1.09,3.28,0,0.55,0,0,0.55,0,0,1.64,0,0,2.73,0,0
