stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,1.07,1.07,0,0,0,0,0,0,0,0,0,0,0,5.35,0,0,1.07,0,9.63,0,2.14,0,0,0
21Day,5.35,1.34,2.68,1.34,0,0,0,0,0,1.34,0,0,0,0,17.4,2.68,0,0,0,2.68,0,4.02,0,0,0
3Month,0,0.64,5.44,0,0.32,0.32,0,0.96,0.32,0,0,0.96,0.32,0.32,0.96,0,0.32,0,0,0,0,0,0.96,0.96,0
22Month,0,0,4.37,0,0.55,0.55,3.83,8.75,0.55,0,1.09,0,0,0.55,2.19,0,0,0,0.55,0,0.55,0,0,0,0.55
