stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Primordial_germ_cell,T_cell
21Day,1.34,0,0,0,0,1.34,0,0,0
3Month,0.96,0.32,0.32,0,0.32,0,0,0,0
22Month,4.92,0.55,0,1.64,2.73,0,1.09,0.55,1.09
