stage,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Retinal_cone_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,3.21,3.21,0,2.14,0,0,1.07
21Day,2.68,1.34,0,0,1.34,72.28,1.34,1.34,1.34,0,2.68,0,0,0,2.68,2.68,12.05
22Month,0,0,0.55,0.55,0,0,0,0,0.55,0.55,0,0,0.55,0,0,0,4.37
