stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
72hpf,1.07,0,3.21,1.07,0,0,0,0,2.14,0,9.63,1.07,1.07,607.64,39.58,0,6.42,2.14,3.21,0,0
21Day,2.68,1.34,6.69,0,5.35,0,0,1.34,1.34,1.34,8.03,0,1.34,127.16,0,2.68,2.68,0,2.68,8.03,2.68
22Month,0,0,0,0,0,0.55,2.19,0.55,0,1.09,0,0,0,3.83,0,0.55,0,0,0,0,0.55
