stage,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,8.17,0,0,0
72hpf,0,0,0,0,0,2.14,1.07,1.07,1.07,0,0,0
3Month,1.28,0.32,0.32,0.32,0.32,0,0.64,0,0,3.52,2.88,0.32
