stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte
24hpf,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,1.07,0,2.14,0,0,6.42,6.42,0,1.07,0,0,3.21,0,0
21Day,0,0,0,4.02,2.68,0,0,0,0,0,0,0,2.68,0,0,5.35,1.34,0,0,0,0,0,0,0
3Month,0,0.32,0.32,5.12,0,26.88,0.32,0,0.64,0.32,2.56,0.32,0.96,1.28,0.32,0,0,0,0,0.32,1.28,0,0,0.32
22Month,0,0,0,2.19,0,37.17,0,0.55,0,0,0,0.55,1.09,0.55,0,0,0,0.55,0.55,0,0,0,0.55,0
