stage,Cardiomyocyte,Endothelial_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Radial_glia
24hpf,0,0,0,4.09,8.17,20.43,0,0
72hpf,0,0,1.07,1.07,1.07,1.07,1.07,1.07
21Day,1.34,1.34,1.34,1.34,0,0,0,0
