stage,Erythrocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_progenitor_cell
72hpf,0,0,0,1.07,0,0,0,1.07
21Day,8.03,0,0,0,0,1.34,0,0
3Month,0,1.6,0,0,0.96,0,0,0
22Month,0,2.73,0.55,0,0,0.55,0.55,0
