stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,36.78,0,0,4.09,0,0,0,0,0
72hpf,75.96,0,0,1.07,1.07,0,0,0,0,0,0,0,1.07,0,0,2.14,0,0,0,0,8.56,6.42,0,0,2.14,1.07,0,0,0,0
21Day,84.33,1.34,0,1.34,0,0,0,0,0,0,0,0,2.68,6.69,0,1.34,0,0,1.34,0,2.68,9.37,0,0,0,1.34,1.34,0,0,0
3Month,7.04,0,0,1.92,0,0,0.32,0.64,0.64,3.84,0.96,0.64,0,0.64,0.96,0.96,0.32,0,0.32,0.32,0.96,0,0.32,0,0,0.32,5.44,0.64,3.2,0.32
22Month,14.21,0,0.55,3.83,0,0.55,0,0,1.64,16.95,8.75,3.28,0,0,2.73,1.64,0,0.55,0,0,0,0,0.55,0.55,0,0,0.55,0.55,0,0
