stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,4.09,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,0,2.14,6.42,0,4.28,0,24.61,3.21,0,1.07,0,0,0,1.07,0,0,0
21Day,1.34,0,16.06,1.34,0,0,0,0,0,0,1.34,2.68,0,9.37,0,1.34,0,8.03,4.02,1.34,1.34,1.34,2.68,1.34,0,2.68,1.34,0
3Month,0,0,0.96,0,0.32,1.92,0.64,0,0.64,0,0.32,4.8,0,0.32,0.32,0.96,0,0,0,0,0,0.32,8,0,0,0,6.08,0.96
22Month,0,0,6.01,0,0,0.55,0,8.2,13.67,0.55,0,26.79,0,0.55,0,0,0.55,0,0,0,0,0,7.11,0,0,0,0,0
