stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.6,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,20.33,10.7,0,0,2.14,0,0,2.14,0,0,0
21Day,0,0,9.37,0,0,0,0,0,0,0,1.34,0,1.34,0,8.03,2.68,0,8.03,4.02,0,0,2.68,0,2.68,0,0,0,0
3Month,0,0.64,5.12,0.32,0,1.6,0.64,0,2.88,0,0,1.28,1.6,0.96,0.64,0.64,0.32,0,0,0,0.64,0,2.88,0,0,0.64,1.28,0.64
22Month,1.09,1.09,2.73,0,1.09,2.73,1.09,1.09,30.61,0.55,0.55,3.83,0.55,1.09,3.83,1.09,0,0,0,0.55,0,0,0,0.55,0,0.55,0,0.55
