stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,17.12,3.21,0,1.07,0,0,0,2.14,0,1.07,0
21Day,1.34,1.34,1.34,5.35,2.68,0,0,1.34,0,1.34,2.68,1.34,0,2.68,0,0,1.34,69.6,1.34,0,1.34,2.68,0,0,6.69,30.79,2.68,1.34
3Month,0,0.32,0,0,0,0,0,0.64,0,0,0,0,0.32,0,0.32,0,0,1.28,0,0.32,0,0,0.32,0.64,0.32,0,0,0.32
22Month,0.55,0,0,0,0,0.55,0.55,16.95,1.09,0,0.55,0.55,0,0.55,0,3.28,0,3.83,0,0,0,0,0,0,0.55,0,0,0
