stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,4.09,49.04,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,4.28,0,8.56,0,1.07,36.37,27.81,0,0,8.56,0,1.07,1.07,2.14,0,0,0
21Day,0,0,1.34,4.02,1.34,0,0,0,0,0,0,8.03,0,0,0,2.68,2.68,0,1.34,6.69,9.37,0,0,0,1.34,0,0,0,0,0,1.34
3Month,0,0.32,0,1.28,0,0.32,0,0.32,0,2.56,0.64,0,0.96,0.64,0.64,0,0.96,0,0,0.32,0.32,0,0,0,0,2.56,0,0.32,0.32,4.48,0
22Month,0,2.19,0,2.73,0,0,1.09,2.19,2.19,17.49,0.55,2.19,2.73,0,0,1.64,3.83,1.09,0,1.09,0,0.55,0.55,0,0.55,0,0,0,0,0,0.55
