stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,4.09,8.17,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,4.28,0,0,0,0,0,0,4.28,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,1.34,16.06,0,10.71,0,4.02,0,1.34,0,2.68,0,4.02,1.34,4.02,2.68,4.02,5.35,0,0,0,0,10.71,2.68,1.34,1.34,0,4.02,0,0,0,1.34,0,0,0
3Month,0.64,2.56,0.64,35.83,0,0,3.2,0,17.6,26.56,0,62.07,9.92,1.6,38.71,2.56,3.52,11.52,2.88,0,0,24.96,0.64,7.68,0,4.8,0.96,0,0,1.28,4.8,0,0,0.96,0.64,1.92
22Month,0,5.47,2.19,18.04,0.55,0,2.73,0.55,10.93,27.88,124.64,215.93,3.83,3.28,59.59,1.09,1.09,11.48,4.92,0.55,3.28,12.03,0,4.92,0,6.56,0,1.09,0,0,4.92,0.55,0,0,0,0
