stage,Erythroid_progenitor_cell,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Spermatocyte
24hpf,4.09,0,4.09,0,0,0,0
72hpf,0,0,1.07,2.14,1.07,1.07,0
21Day,0,0,0,1.34,0,0,0
3Month,0,0.32,0,0,0,0,0.64
