stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,1.07,1.07,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,1.34,0,0,0
3Month,0,0,7.36,0.32,0.32,0.96,0,15.04,1.6,3.52,0.64,2.88,0.96,3.84,0.32,0.32,1.28,0.32,0.32,1.28,0.64,0,0.32,0.64,147.82,1.6,0,0,0.64,221.72,0.64
22Month,0.55,1.09,3.83,0,0.55,1.09,0.55,21.32,1.09,0.55,0,0.55,1.09,2.19,0,0,0,0.55,0.55,5.47,1.64,51.39,0,0,32.8,7.11,1.64,0,0,0,0
