stage,Epithelial_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,4.09,0,0
21Day,0,0,0,0,2.68,1.34,0,0
3Month,1.28,0.32,0.64,0.32,0,0,0.96,0.32
