stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,20.43,4.09,0,0,0,0,0,0,0,0,8.17,4.09,0,8.17,0,4.09,0,126.68,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,4.28,6.42,0,0,0,0,0,0,0,0,3.21,5.35,0,3.21,0,0,26.74,39.58,2.14,0,0,1.07,0,0,18.19,1.07,0,0,0,0
21Day,0,0,4.02,8.03,0,0,0,0,0,1.34,1.34,1.34,2.68,1.34,1.34,1.34,1.34,0,6.69,2.68,0,0,0,0,1.34,0,0,0,1.34,0,0,1.34
3Month,0,0.64,24.64,2.88,0,0.32,0.32,1.6,9.28,2.88,0,3.2,12.48,1.6,2.88,2.56,0,0.64,5.76,0.32,3.2,0,0,0,0.96,36.15,0.64,0,0.64,13.44,364.74,0.64
22Month,0.55,0,15.31,0.55,0.55,0,0,0.55,11.48,0,0,1.64,0.55,0,1.09,2.19,0.55,0,2.19,0,1.09,0.55,0.55,0,0,44.83,0.55,0,0,1.64,1.09,0.55
