stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,9.63,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0,0,0,0,0,0,0,0,0
21Day,16.06,0,0,22.76,17.4,0,1.34,0,192.75,0,0,0,333.29,2.68,5.35,9.37,89.68,34.8,0,1.34,0,30.79,24.09,0,0,17.4,10.71,0,4.02,13.39,0,0,0,104.41
3Month,0,2.24,1.92,9.28,0,0.64,0.64,1.92,55.67,0,16.32,11.52,13.76,3.2,1.92,1.92,176.93,5.12,2.24,3.2,0.64,1.92,0.32,1.6,0,0,3.2,1.6,0,0,0,0.96,2.88,70.71
22Month,0,4.92,0,0.55,0,0,0,0.55,7.11,0,41.55,388.12,12.03,0.55,1.64,0.55,31.71,2.73,0,0,0,0,0,0,0.55,0,0,0,0,0,0.55,0,0,25.15
