stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Neural_cell,Retinal_pigment_epithelial_cell
21Day,0,1.34,0,0,0,2.68,0,1.34,1.34,2.68
3Month,0.32,0.96,0.96,0,1.28,0,0,0,0,0
22Month,0,0,2.73,0.55,0,0,0.55,0.55,0,0
