stage,Enterocyte,Epithelial_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,4.09,4.09,0,0,0,0,61.3,0,0,0
72hpf,0,0,0,0,0,0,1.07,0,0,0,0,3.21,7.49,0,2.14,0
21Day,0,1.34,0,0,0,0,0,0,0,0,1.34,4.02,2.68,1.34,4.02,2.68
3Month,0.32,0.96,0.32,0,0.32,0,0,0,0,0.32,0,0,0,0,0,0
22Month,0.55,0,2.19,0.55,0,0.55,0,0,0.55,0.55,0,0.55,0,0,0,0
