stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,175.72,4.09,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,3.21,0,0,0,0,0,0,0,9.63,2.14,0,0,0,0,2.14,1.07,0,0,0,0,1.07,0,0,0,0
21Day,0,1.34,0,2.68,0,0,0,16.06,0,0,0,2.68,0,0,0,17.4,2.68,0,0,2.68,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.32,0.32,0.32,3.2,0,0,0.32,69.75,0,4.16,0.32,0.32,0.64,0.32,0.32,39.35,1.28,0.64,0,0.64,0.64,0,0,0.32,0.32,0.32,1.92,0,0.32,0,0.96,0.64
22Month,0,6.56,0.55,6.56,2.73,1.09,1.09,674.03,1.09,19.68,6.01,8.2,3.83,0,1.09,331.27,1.09,0,1.09,1.64,0,0,0,0,0,1.64,9.29,1.64,0.55,1.09,0,2.19
