stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
72hpf,3.21,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,120.89,3.21,0,0,3.21,0,0,1.07,0,0,3.21,0,0
21Day,1.34,0,0,4.02,2.68,1.34,0,0,0,0,0,5.35,0,0,0,0,89.68,4.02,1.34,1.34,1.34,6.69,0,1.34,0,2.68,0,0,1.34
3Month,0,0.32,0,2.24,0,0,0.32,0,2.24,0.32,0.96,0.64,0.64,0.32,0,0.32,1.28,0,0,0,0,0,0.96,0,0,0,0,0.32,0
22Month,0,0.55,0.55,1.09,0,0,0.55,0.55,18.04,0,1.09,0,0.55,0.55,0.55,0,0.55,0,1.09,0,1.09,0,1.64,0,0.55,0,0,0,0
