stage,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell
72hpf,0,0,2.14,0,0,0
21Day,0,0,1.34,1.34,1.34,0
3Month,0.32,0,0,0,0,0.32
22Month,1.09,0.55,0,0,0,0
