stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,4.28,3.21,0,0,0,0,0,0,0,0,0,0,4.28,12.84,5.35,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0
21Day,2.68,0,1.34,69.6,0,0,0,0,0,0,0,2.68,0,1.34,5.35,1.34,30.79,8.03,8.03,0,0,2.68,0,2.68,0,0,0,4.02,1.34,0,0,0,0,0,0,1.34
3Month,0,1.28,2.88,77.75,0,0.96,0.32,0.32,12.16,3.52,0,47.03,4.8,0.32,62.07,0.96,33.59,23.36,22.4,3.2,0,2.56,1.6,0.64,1.28,0.32,0,0,1.92,2.24,0.32,0,0,0.32,0.96,2.88
22Month,0.55,3.28,7.65,26.79,0,1.64,0,0,7.65,1.64,4.92,134.48,2.73,0,96.76,1.09,6.01,24.6,39.36,2.19,3.83,1.64,1.09,0.55,0.55,0,0.55,0,0,10.39,1.09,0.55,0.55,0,0,1.09
